metric_score;metric;value_metric;add_category;value_add_category;score_id;opmerkingen
SMnsInt_oligohaline;MnsInt_oligohaline;[2.3,4.5[;;;0,4;
SMnsInt_oligohaline;MnsInt_oligohaline;] ,2.3[;;;0,2;
SMnsDia_oligohaline;MnsDia_oligohaline;[8.1, [;;;1;
SMnsDia_oligohaline;MnsDia_oligohaline;[6.1,8.1[;;;0,8;
SMnsDia_oligohaline;MnsDia_oligohaline;[4.1,6.1[;;;0,6;
SMnsDia_oligohaline;MnsDia_oligohaline;[2,4.1[;;;0,4;
SMnsDia_oligohaline;MnsDia_oligohaline;] ,2[;;;0,2;
SMnsDia_mesohaline;MnsDia_mesohaline;[8.1, [;;;1;
SMnsDia_mesohaline;MnsDia_mesohaline;[6.1,8.1[;;;0,8;
SMnsDia_mesohaline;MnsDia_mesohaline;[4.1,6.1[;;;0,6;
SMnsDia_mesohaline;MnsDia_mesohaline;[2,4.1[;;;0,4;
SMnsDia_mesohaline;MnsDia_mesohaline;] ,2[;;;0,2;
SMniInd_oligohaline;MniInd_f_oligohaline;[180, [;;;1;
SMniInd_oligohaline;MniInd_f_oligohaline;[135,180[;;;0,8;
SMniInd_oligohaline;MniInd_f_oligohaline;[90,135[;;;0,6;
SMniInd_oligohaline;MniInd_f_oligohaline;[45,90[;;;0,4;
SMniInd_oligohaline;MniInd_f_oligohaline;] ,45[;;;0,2;
SMnsMms_oligohaline;MnsMms_oligohaline;[3.6, [;;;1;
SMnsMms_oligohaline;MnsMms_oligohaline;[2.7,3.6[;;;0,8;
SMnsMms_oligohaline;MnsMms_oligohaline;[1.8,2.7[;;;0,6;
SMnsMms_oligohaline;MnsMms_oligohaline;[0.9,1.8[;;;0,4;
SMnsMms_oligohaline;MnsMms_oligohaline;] ,0.9[;;;0,2;
SMnsErs_oligohaline;MnsErs_oligohaline;[5.4, [;;;1;
SMnsErs_oligohaline;MnsErs_oligohaline;[4.1,5.4[;;;0,8;
SMnsErs_oligohaline;MnsErs_oligohaline;[2.7,4.1[;;;0,6;
SMnsErs_oligohaline;MnsErs_oligohaline;[1.4,2.7[;;;0,4;
SMnsErs_oligohaline;MnsErs_oligohaline;] ,1.4[;;;0,2;
SMnsTot_mesohaline;MnsTot_mesohaline;[27, [;;;1;
SMnsTot_mesohaline;MnsTot_mesohaline;[20.3,27[;;;0,8;
SMnsTot_mesohaline;MnsTot_mesohaline;[13.5,20.3[;;;0,6;
SMnsTot_mesohaline;MnsTot_mesohaline;[6.8,13.5[;;;0,4;
SMnsTot_mesohaline;MnsTot_mesohaline;] ,6.8[;;;0,2;
SMnsSpa_mesohaline;MnsSpa_mesohaline;[5.4, [;;;1;
SMnsSpa_mesohaline;MnsSpa_mesohaline;[4.1,5.4[;;;0,8;
SMnsSpa_mesohaline;MnsSpa_mesohaline;[2.7,4.1[;;;0,6;
SMnsSpa_mesohaline;MnsSpa_mesohaline;[1.4,2.7[;;;0,4;
SMnsSpa_mesohaline;MnsSpa_mesohaline;] ,1.4[;;;0,2;
SMnsHab_mesohaline;MnsHab_mesohaline;[14.4, [;;;1;
SMnsHab_mesohaline;MnsHab_mesohaline;[10.8,14.4[;;;0,8;
SMnsHab_mesohaline;MnsHab_mesohaline;[7.2,10.8[;;;0,6;
SMnsHab_mesohaline;MnsHab_mesohaline;[3.6,7.2[;;;0,4;
SMnsHab_mesohaline;MnsHab_mesohaline;] ,3.6[;;;0,2;
SMpiInt_mesohaline;MpiInt_mesohaline;[30, [;;;1;
SMpiInt_mesohaline;MpiInt_mesohaline;[22.5,30[;;;0,8;
SMpiInt_mesohaline;MpiInt_mesohaline;[15,22.5[;;;0,6;
SMpiInt_mesohaline;MpiInt_mesohaline;[7.5,15[;;;0,4;
SMpiInt_mesohaline;MpiInt_mesohaline;] ,7.5[;;;0,2;
SMnsMms_mesohaline;MnsMms_mesohaline;[9, [;;;1;
SMnsMms_mesohaline;MnsMms_mesohaline;[6.8,9[;;;0,8;
SMnsMms_mesohaline;MnsMms_mesohaline;[4.5,6.8[;;;0,6;
SMnsMms_mesohaline;MnsMms_mesohaline;[2.3,4.5[;;;0,4;
SMnsMms_mesohaline;MnsMms_mesohaline;] ,2.3[;;;0,2;
SMnsTot_brak;MnsTot_brak;] ,7];;;1;
SMnsTot_brak;MnsTot_brak;]7,9];;;2;
SMnsTot_brak;MnsTot_brak;]9,10];;;3;
SMnsTot_brak;MnsTot_brak;]10,11];;;4;
SMnsTot_brak;MnsTot_brak;]11, [;;;5;
SMpiSme_brak;MpiSme_brak;] ,0.33];;;1;
SMpiSme_brak;MpiSme_brak;]0.33,1.12];;;3;
SMpiSme_brak;MpiSme_brak;]1.12,2.68];;;4;
SMpiSme_brak;MpiSme_brak;]2.68, [;;;5;
SMpiMjm_brak;MpiMjm_brak;] ,33.0];;;1;
SMpiMjm_brak;MpiMjm_brak;]33.0,54.2];;;2;
SMpiMjm_brak;MpiMjm_brak;]54.2,73.1];;;3;
SMpiMjm_brak;MpiMjm_brak;]73.1,82.0];;;4;
SMpiMjm_brak;MpiMjm_brak;]82.0, [;;;5;
SMpiOmn_brak;MpiOmn_brak;[16.44, [;;;1;
SMpiOmn_brak;MpiOmn_brak;[7.90,16.44[;;;2;
SMpiOmn_brak;MpiOmn_brak;[3.37,7.90[;;;3;
SMpiOmn_brak;MpiOmn_brak;[1.17,3.37[;;;4;
SMpiOmn_brak;MpiOmn_brak;] ,1.17[;;;5;
SMpiPis_brak;MpiPis_brak;] ,12.84];;;1;
SMpiPis_brak;MpiPis_brak;]12.84,19.44];;;2;
SMpiPis_brak;MpiPis_brak;]19.44,27.23];;;3;
SMpiPis_brak;MpiPis_brak;]27.23,41.19];;;4;
SMpiPis_brak;MpiPis_brak;]41.19, [;;;5;
SManTol_bron;ManTol_bron;[7, [;;;4;
SManTol_bron;ManTol_bron;[5,7[;;;3;
SManTol_bron;ManTol_bron;[3,5[;;;2;
SManTol_bron;ManTol_bron;] ,3[;;;1;
SManSha_bron;ManSha;[0.58, [;;;4;
SManSha_bron;ManSha;[0.39,0.58[;;;3;
SManSha_bron;ManSha;[0.19,0.39[;;;2;
SManSha_bron;ManSha;] ,0.19[;;;1;
SMpiSpa_bron;MpiSpa_bron;[61.3, [;;;4;
SMpiSpa_bron;MpiSpa_bron;[40.9,61.3[;;;3;
SMpiSpa_bron;MpiSpa_bron;[20.4,40.9[;;;2;
SMpiSpa_bron;MpiSpa_bron;] ,20.4[;;;1;
SMpiRhe_bron;MpiRhe_bron;[61, [;;;4;
SMpiRhe_bron;MpiRhe_bron;[40.7,61[;;;3;
SMpiRhe_bron;MpiRhe_bron;[20.3,40.7[;;;2;
SMpiRhe_bron;MpiRhe_bron;] ,20.3[;;;1;
SManSha_est_zijriv;ManSha;[2, [;;;1;
SManSha_est_zijriv;ManSha;[1.5,2[;;;0,8;
SManSha_est_zijriv;ManSha;[1,1.5[;;;0,6;
SManSha_est_zijriv;ManSha;[0.5,1[;;;0,4;
SManSha_est_zijriv;ManSha;] ,0.5[;;;0,2;
SMpiInv_est_zijriv;MpiInv_est_zijriv;[51.8,62.1[;;;1;
SMpiInv_est_zijriv;MpiInv_est_zijriv;[41.4,51.8[;;;0,8;
SMpiInv_est_zijriv;MpiInv_est_zijriv;[31,41.4[;;;0,6;
SMpiInv_est_zijriv;MpiInv_est_zijriv;[20.7,31[;;;0,4;
SMpiInv_est_zijriv;MpiInv_est_zijriv;] ,20.7[;;;0,2;
SMpiInv_est_zijriv;MpiInv_est_zijriv;[62.1, [;;;0,2;
SMpiSpa_est_zijriv;MpiSpa_est_zijriv;[51.6,61.9[;;;1;
SMpiSpa_est_zijriv;MpiSpa_est_zijriv;[41.2,51.6[;;;0,8;
SMpiSpa_est_zijriv;MpiSpa_est_zijriv;[30.9,41.2[;;;0,6;
SMpiSpa_est_zijriv;MpiSpa_est_zijriv;[20.6,30.9[;;;0,4;
SMpiSpa_est_zijriv;MpiSpa_est_zijriv;] ,20.6[;;;0,2;
SMpiSpa_est_zijriv;MpiSpa_est_zijriv;[61.9, [;;;0,2;
SMnsPis_est_zijriv;MnsPis_est_zijriv;[5, [;;;1;
SMnsPis_est_zijriv;MnsPis_est_zijriv;[4,5[;;;0,8;
SMnsPis_est_zijriv;MnsPis_est_zijriv;[3,4[;;;0,6;
SMnsPis_est_zijriv;MnsPis_est_zijriv;]1,3[;;;0,4;
SMnsPis_est_zijriv;MnsPis_est_zijriv;] ,1];;;0,2;
